Films;Note Globale
# Pire soirée;1.6
#Chef;2.8
(500) jours ensemble;3.3
(S)ex List;2.2
1 duplex pour 3;3.3
10 bonnes raisons de te larguer;2.1
10.000 Km;2.8
100 Girls;2.2
100% Cachemire;1.8
1001 Pattes;4.5
102 dalmatiens;2.9
11 : 14 onze heures quatorze;3.0
12 ans d'âge;2.2
14 ans, premier amour;3.1
15 ans et demi;1.8
15 août;2.9
17 ans encore;2.4
18 ans après;2.9
2 Days In New York;3.4
2 Days in Paris;3.9
2 Guns;2.1
2 automnes 3 hivers;3.2
20 ans d'écart;3.6
20th Century Women;3.6
21 Jump Street;2.7
21 nuits avec Pattie;4.1
22 Jump Street;3.5
25 Watts;3.1
27 robes;2.5
3 Amis;2.6
3 Zéros;3.4
3 fois 20 ans;2.1
3, Chronique d'une famille singulière;3.1
30 Beats;1.9
30 Minutes Maximum;2.3
30 ans sinon rien;3.3
30° Couleur;2.8
40 ans : mode d'emploi;3.4
40 ans, toujours puceau;3.2
40 jours et 40 nuits;2.2
48 heures par jour;1.8
5 ans de Réflexion;3.1
50 Degres Fahrenheit;2.5
7 Psychopathes;2.3
7 ans de mariage;2.9
7 ans de séduction;2.5
7 jours et une vie;2.5
8 femmes;4.2
800 balles;3.1
9 mois ferme;4.1
99 francs;3.0
A Coup Sûr;1.8
A Dirty Shame;3.3
A Love You;2.6
A Toute Épreuve;3.0
A boire;2.9
A bord du Darjeeling Limited;3.8
A la carte;2.1
A tout jamais, une histoire de Cendrillon;2.8
A trois on y va;3.9
A very Englishman;2.8
A vif !;2.3
Aaltra;3.8
Abattoir 5;4.2
Absolument fabuleux;2.3
Absolutely Anything;2.3
Absolutely Fabulous : Le Film;2.6
Achille et la tortue;4.0
Adam's apples;3.6
Adaptation.;3.3
Adieu Berthe ou l'enterrement de mémé;3.9
Adieu, plancher des vaches !;3.8
Adopte Un Veuf;2.9
Aferim!;3.6
Affaire de famille;2.9
Africa United;2.7
Afrik'Aïoli;2.9
Agathe Cléry;2.0
Agents presque secrets;2.3
Agents très spéciaux - Code U.N.C.L.E;3.3
Ah ! la libido;2.0
Ah ! si j'étais riche;3.2
Aimer, boire et chanter;3.7
Akoibon;3.1
Albert à l'ouest;2.6
Alceste à bicyclette;3.6
Alex Rider : Stormbreaker;2.2
Ali G;3.3
Alibi.com;2.9
Alice de l'autre côté du miroir;2.7
All That I Love;3.2
All about Albert;3.2
Aller simple pour Manhattan;3.1
Allumeuses !;2.4
Almanya;3.4
Alpha & Omega - 3D;1.8
Alvin et les Chipmunks;2.2
Alvin et les Chipmunks - A fond la caisse;1.8
Alvin et les Chipmunks 3;2.3
Amazone;2.3
American Dreamz;3.3
American Hero;3.1
American Honey;3.0
American Pie;3.0
American Pie 2;2.2
American Pie 4;1.6
American Trip;3.2
American Ultra;2.9
American girls;2.7
American party - Van Wilder relations publiques;2.1
American pie : marions-les !;3.0
Amis publics;2.7
Amor al primer nieto;3.3
Amour & turbulences;2.8
Amour et amnésie;2.9
Amour tout court;2.9
Amour, piments et bossa nova;2.8
Amour, vengeance & trahison;2.7
Amours salées et plaisirs sucrés;2.3
Amours troubles;2.2
Amours, larcins et autres complications;3.1
Ana;3.3
Andalucía;3.9
Angel-A;2.8
Angry Birds - Le Film;3.3
Animal ! L'animal...;2.2
Anita n'en fait qu'à sa tête;3.0
Annie-Mary à la folie !;2.8
Another Happy Day;3.0
Antilles sur Seine;2.7
Anything else, la vie et tout le reste;3.6
Apnée;3.3
Appelez-moi Dave;1.8
Appelez-moi Kubrick;2.4
Apprenti Gigolo;2.8
Après vous...;3.8
Arac attack, les monstres à huit pattes;3.7
Arnaque à la carte;1.9
Arrête de pleurer Pénélope;1.8
Arrête ou je continue;3.3
Arrête ton Cinéma!;3.0
Arrête-moi si tu peux;4.2
Arthur Newman;2.3
Artémis, coeur d'artichaut;3.8
Associés contre le crime...;3.1
Astérix - Le Domaine des Dieux;3.7
Astérix aux Jeux Olympiques;1.9
